Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","250","France","5610","Import quantity","2165","Palm oil","2020","2020","t","422456.94","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import quantity","2165","Palm oil","2021","2021","t","289008.09","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import quantity","2165","Palm oil","2022","2022","t","239777.55","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import quantity","2165","Palm oil","2023","2023","t","153021.7","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import quantity","2165","Palm oil","2024","2024","t","143049.33","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5610","Import quantity","2165","Palm oil","2020","2020","t","723512.62","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5610","Import quantity","2165","Palm oil","2021","2021","t","667187.17","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5610","Import quantity","2165","Palm oil","2022","2022","t","801478.93","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5610","Import quantity","2165","Palm oil","2023","2023","t","698041.57","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5610","Import quantity","2165","Palm oil","2024","2024","t","682774.21","A","Official figure",""
"TCL","Crops and livestock products","724","Spain","5610","Import quantity","2165","Palm oil","2020","2020","t","1952093.71","A","Official figure",""
"TCL","Crops and livestock products","724","Spain","5610","Import quantity","2165","Palm oil","2021","2021","t","1438106","A","Official figure",""
"TCL","Crops and livestock products","724","Spain","5610","Import quantity","2165","Palm oil","2022","2022","t","1076398.33","A","Official figure",""
"TCL","Crops and livestock products","724","Spain","5610","Import quantity","2165","Palm oil","2023","2023","t","1163242.19","A","Official figure",""
"TCL","Crops and livestock products","724","Spain","5610","Import quantity","2165","Palm oil","2024","2024","t","656935.72","A","Official figure",""
"TCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5610","Import quantity","2165","Palm oil","2020","2020","t","424446.89","A","Official figure",""
"TCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5610","Import quantity","2165","Palm oil","2021","2021","t","390419.69","A","Official figure",""
"TCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5610","Import quantity","2165","Palm oil","2022","2022","t","360689.48","A","Official figure",""
"TCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5610","Import quantity","2165","Palm oil","2023","2023","t","380931.65","A","Official figure",""
"TCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5610","Import quantity","2165","Palm oil","2024","2024","t","373403.02","A","Official figure",""
