Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,250,France,5510,Production,F1806,"Beef and Buffalo Meat, primary",2024,2024,t,1298540,A,Official figure,
QCL,Crops and livestock products,250,France,5510,Production,F1808,"Meat, Poultry",2024,2024,t,1691268,A,Official figure,
QCL,Crops and livestock products,250,France,5510,Production,F1765,"Meat, Total",2024,2024,t,5183265.7,A,Official figure,
QCL,Crops and livestock products,250,France,5510,Production,F1807,Sheep and Goat Meat,2024,2024,t,73790,A,Official figure,
QCL,Crops and livestock products,276,Germany,5510,Production,F1806,"Beef and Buffalo Meat, primary",2024,2024,t,1015350,A,Official figure,
QCL,Crops and livestock products,276,Germany,5510,Production,F1808,"Meat, Poultry",2024,2024,t,1540200,A,Official figure,
QCL,Crops and livestock products,276,Germany,5510,Production,F1765,"Meat, Total",2024,2024,t,6875680,A,Official figure,
QCL,Crops and livestock products,276,Germany,5510,Production,F1807,Sheep and Goat Meat,2024,2024,t,29320,A,Official figure,
QCL,Crops and livestock products,372,Ireland,5510,Production,F1806,"Beef and Buffalo Meat, primary",2024,2024,t,602600,A,Official figure,
QCL,Crops and livestock products,372,Ireland,5510,Production,F1808,"Meat, Poultry",2024,2024,t,179482.78,A,Official figure,
QCL,Crops and livestock products,372,Ireland,5510,Production,F1765,"Meat, Total",2024,2024,t,1160634.02,A,Official figure,
QCL,Crops and livestock products,372,Ireland,5510,Production,F1807,Sheep and Goat Meat,2024,2024,t,62970,A,Official figure,
QCL,Crops and livestock products,380,Italy,5510,Production,F1806,"Beef and Buffalo Meat, primary",2024,2024,t,677183.54,A,Official figure,
QCL,Crops and livestock products,380,Italy,5510,Production,F1808,"Meat, Poultry",2024,2024,t,1382247.29,A,Official figure,
QCL,Crops and livestock products,380,Italy,5510,Production,F1765,"Meat, Total",2024,2024,t,3376370.51,A,Official figure,
QCL,Crops and livestock products,380,Italy,5510,Production,F1807,Sheep and Goat Meat,2024,2024,t,25510,A,Official figure,
QCL,Crops and livestock products,620,Portugal,5510,Production,F1806,"Beef and Buffalo Meat, primary",2024,2024,t,101770,A,Official figure,
QCL,Crops and livestock products,620,Portugal,5510,Production,F1808,"Meat, Poultry",2024,2024,t,397090,A,Official figure,
QCL,Crops and livestock products,620,Portugal,5510,Production,F1765,"Meat, Total",2024,2024,t,889814,A,Official figure,
QCL,Crops and livestock products,620,Portugal,5510,Production,F1807,Sheep and Goat Meat,2024,2024,t,14850,A,Official figure,
QCL,Crops and livestock products,724,Spain,5510,Production,F1806,"Beef and Buffalo Meat, primary",2024,2024,t,718450,A,Official figure,
QCL,Crops and livestock products,724,Spain,5510,Production,F1808,"Meat, Poultry",2024,2024,t,1740170,A,Official figure,
QCL,Crops and livestock products,724,Spain,5510,Production,F1765,"Meat, Total",2024,2024,t,7564707.95,A,Official figure,
QCL,Crops and livestock products,724,Spain,5510,Production,F1807,Sheep and Goat Meat,2024,2024,t,107240,A,Official figure,
QCL,Crops and livestock products,826,United Kingdom,5510,Production,F1806,"Beef and Buffalo Meat, primary",2024,2024,t,934300,A,Official figure,
QCL,Crops and livestock products,826,United Kingdom,5510,Production,F1808,"Meat, Poultry",2024,2024,t,1998547.63,A,Official figure,
QCL,Crops and livestock products,826,United Kingdom,5510,Production,F1765,"Meat, Total",2024,2024,t,4171521.54,A,Official figure,
QCL,Crops and livestock products,826,United Kingdom,5510,Production,F1807,Sheep and Goat Meat,2024,2024,t,265500,A,Official figure
